0: 62
1: 14,32
2: 24
3: 51,63,9
4: 42,17
5: 67,19,49
6: 11
7: 
8: 13,11,19,64
9: 3,53,20
11: 13,65,43,8,6
12: 13,65,26,59
13: 12,11,8,68,48,26
14: 1
15: 34,25
16: 
17: 53,4,43,19
18: 26,47
19: 43,8,64,22,17,49,5
20: 9
21: 28,40,48
22: 64,51,19,49
23: 55
24: 2,25
25: 24,15
26: 68,61,18,12,13
27: 32
28: 21,44,52,46
29: 
30: 40,61,33
31: 47,45
32: 68,48,1,27
33: 30,45,61
34: 15,36
35: 56
36: 34
37: 54
38: 62,40,45
39: 54
40: 42,21,30,38
41: 
42: 40,66,4
43: 11,19,17
44: 52,28
45: 31,38,33
46: 50,28
47: 31,18
48: 68,32,60,21,13
49: 51,22,19,5
50: 46
51: 3,22,49
52: 44,28
53: 17,9
54: 39,37
55: 23
56: 35
57: 64
58: 65
59: 12,65
60: 48
61: 30,68,26,33
62: 38,0
63: 3
64: 57,22,8,19
65: 12,11,59,58
66: 42
67: 5
68: 48,32,26,61,13
