0: 
1: 88,50,83,68
2: 34,25,24
3: 51,63
4: 42,85,30,40
5: 67,11,71,43
6: 86,11,33,79,29
7: 37
8: 13
9: 81,20
11: 67,65,5,59,79,6
12: 18,27,26
13: 60,30,8
14: 15
15: 14,34
16: 
17: 53,71,40,29
18: 12,27,47,75
19: 64,49,57,51
20: 9
21: 28,30,61,38
22: 49
23: 45,55
24: 25,2
25: 24,2
26: 61,12
27: 68,47,18,12
28: 68,46,88,21
29: 17,33,86,6
30: 48,61,13,4,21,40
31: 75,55,78
32: 82,48,60,34
33: 29,6
34: 15,36,2,32
35: 
36: 34
37: 54,7
38: 62,21,61
39: 54
40: 17,53,71,4,30
41: 73,64,49
42: 4,85
43: 5
44: 52,77
45: 23,55,78
46: 88,83,28
47: 75,68,27,18
48: 60,32,30
49: 41,64,19,22,51
50: 83,1
51: 3,49,19,71
52: 77,44
53: 17,40,81
54: 37,39
55: 45,23,31,75,78
56: 
57: 64,19
58: 79,65
59: 67,65,11
60: 82,48,32,80,13
61: 30,21,38,26
62: 38,66
63: 3
64: 41,49,19,57
65: 11,59,58,79
66: 62
67: 11,5,59
68: 82,28,1,27,47
69: 
70: 
71: 17,40,51,5
72: 
73: 41
74: 87
75: 47,31,55,18
76: 39
77: 52,44
78: 45,55,31
79: 58,65,11,6
80: 82,60
81: 53,9
82: 68,60,32,80
83: 50,1,46,88
84: 
85: 42,4
86: 6,29
87: 74
88: 1,46,83,28
