0: 
1: 
2: 57,110,30,82,64,60,32
3: 9,63
4: 71,102,42,51
5: 43,91,107,94
6: 11,97,74
7: 
8: 80,64,59
9: 3
11: 87,94,97,71,40,79,74,6
12: 59,13,27,80
13: 64,61,26,80,12
14: 34,35
15: 34,35
16: 54,63,90,49,22
17: 40,95
18: 47
19: 57,30,51,70
20: 
21: 31,103,61,69,96,46
22: 16,90,49
23: 45
24: 76,110
25: 76
26: 13,61,31,104,27
27: 26,12
28: 68,77,32
29: 86
30: 2,19,101,64,48
31: 47,21,104,61,26
32: 64,48,60,34,28,36,2
33: 86
34: 15,14,77,36,32
35: 15,14
36: 34,32
37: 115
38: 40,102,42,116,106
39: 54
40: 17,38,71,87,11,74
41: 49,73
42: 44,38,4,102
43: 5,107
44: 42,116,101,48,102
45: 83,23
46: 96,103,78,21
47: 31,104,50,75,108,89,18
48: 64,32,101,30,44
49: 41,16,90,22
50: 114,103,47,104
51: 70,101,19,4
52: 62,77,85
53: 95
54: 16,39
55: 78,75
56: 99,92,57,110
57: 2,110,19,56
58: 
59: 12,8,97,80,100
60: 64,32,2,82
61: 13,26,31,21
62: 52,85,96
63: 16,3
64: 13,48,60,32,2,30,8
65: 79,97,100
66: 
67: 100
68: 28,93
69: 96,98,21
70: 51,19
71: 40,4,87,11,106
72: 
73: 41
74: 79,40,11,6
75: 114,108,47,55
76: 110,24,25
77: 52,34,28
78: 55,46
79: 65,74,11,97
80: 8,13,59,12
81: 112
82: 2,60
83: 114,45
84: 
85: 62,52,96
86: 33,29
87: 11,106,71,40
88: 
89: 75,108,47,18
90: 109,16,49,22
91: 5
92: 56
93: 68,104
94: 11,97,5,100
95: 17,53
96: 69,46,62,85,21
97: 11,94,59,79,65,6,100
98: 69
99: 56
100: 67,94,97,59,65
101: 30,44,48,51,102
102: 38,4,101,42,44,116,106
103: 50,46,21
104: 47,31,50,26,93
105: 
106: 87,38,71,102
107: 43,5
108: 114,75,89,47
109: 90
110: 2,57,56,76,24
111: 
112: 81
113: 
114: 50,83,75,108
115: 37
116: 44,38,102
