0: 
1: 83,108,88
2: 110,32,57,64,36,82
3: 9,109
4: 71,112,102,51,106
5: 94,6,41,49,107,43
6: 11,97,94,5,79,91
7: 
8: 87,30,64,13,120,41,80
9: 3
11: 87,97,6,120,71,40,79,74
12: 26,122
13: 48,60,26,121,120,28,32,64,8
14: 34,35
15: 34,35
16: 22,90
17: 95
18: 47,75
19: 30,57,70
20: 
21: 31,85,116,48,61,69,96,123
22: 16,90
23: 
24: 76
25: 76
26: 13,121,12,93,47,31
27: 118,122
28: 13,104,48,68,77
29: 119
30: 19,64,101,106,8
31: 47,21,26
32: 2,64,34,36,13,60
33: 86,119
34: 15,14,36,32
35: 15,14
36: 34,2,32
37: 39
38: 71,40
39: 37,54
40: 116,61,69,38,71,11,117,74
41: 49,8,5
42: 102
43: 5,107
44: 101,102,77,48
45: 83
46: 123,78
47: 31,50,114,108,104,26,93,18
48: 13,61,121,28,44,101,77,21
49: 41,106,5,107
50: 114,108,103,88,47,55
51: 70,106,4
52: 85,62,77
53: 95
54: 39
55: 75,50,114,78
56: 99,92,110
57: 2,19,99
58: 
59: 80,97,94,118,65,100
60: 13,68,32,82
61: 48,121,116,21,87,40
62: 85,52
63: 90
64: 2,30,32,82,13,8
65: 118,97,59,79,100
66: 
67: 
68: 104,60,28
69: 96,116,21,40
70: 19,51
71: 38,4,102,106,87,11,40
72: 
73: 
74: 84,11,40
75: 55,114,18
76: 24,25
77: 44,52,48,28
78: 46,55
79: 84,11,97,6,65
80: 59,8
81: 112
82: 2,64,60
83: 1,45
84: 79,74
85: 62,52,96,21
86: 33,119
87: 8,11,61,120,71
88: 50,1,103
89: 114,108
90: 109,63,22,16
91: 6
92: 56
93: 104,26,47
94: 97,5,6,59
95: 53,17
96: 69,123,85,21
97: 11,94,6,59,79,65,100
98: 117
99: 56,57
100: 97,59,65
101: 44,102,30,48,106
102: 42,44,101,71,4
103: 50,88
104: 28,68,93,47
105: 
106: 49,30,101,51,71,4
107: 49,5,43
108: 50,114,1,89,47
109: 90,3
110: 2,56
111: 
112: 81,4
113: 
114: 50,108,89,47,75,55
115: 
116: 61,69,21,40
117: 98,40
118: 65,27,59,122
119: 33,86,29
120: 13,121,8,87,11
121: 13,48,61,26,120
122: 12,118,27
123: 96,46,21
