0: 
1: 108,83
2: 57,64,24
3: 9,109
4: 42,44,102,139
5: 43,113
6: 91,97,74,79
7: 
8: 87,94,120,106,13,41,80
9: 3,81
11: 130,120,122,40
12: 13,26,133
13: 48,125,26,134,143,12,8,80
14: 88,104,35,68,77
15: 34,68,124,82
16: 70,54,127,22
17: 107,95,91
18: 93,47
19: 101,36,57,64
20: 29
21: 116,28,121,69,123,31
22: 127,16
23: 55,78
24: 110,56,2
25: 140
26: 13,28,143,12,50,93
27: 133,58
28: 121,26,88,50,21,31
29: 20
30: 41,126,64
31: 103,47,50,55,21,28,123
32: 57,64,124,34,36
33: 86
34: 15,36,32,124
35: 104,14
36: 101,19,34,57,32,77
37: 39
38: 116,40,138
39: 37
40: 131,138,116,61,98,117,38,11
41: 49,30,126,8
42: 44,102,4
43: 5,107
44: 42,102,4,101,48
45: 83
46: 123,98,103,117
47: 31,108,55,18
48: 13,121,134,61,101,44,102,106
49: 41,90,51
50: 88,104,28,26,31
51: 90,139,49
52: 77
53: 138,112
54: 16
55: 23,31,103,47,78,114
56: 99,110,24
57: 2,64,32,99,36,19
58: 27
59: 141,97,132,65
60: 68,82,125
61: 48,121,102,116,71,40
62: 66,69
63: 
64: 2,57,32,19,30,126
65: 59
66: 62
67: 105
68: 104,14,15,124,82,125,60
69: 123,116,21,62
70: 16
71: 102,61,87,106
72: 
73: 113
74: 87,6,79
75: 128,114
76: 140
77: 52,14,36
78: 55,23,103
79: 97,74,129,6
80: 13,8
81: 95,9
82: 15,68,124,125,60
83: 1,45
84: 129
85: 
86: 33
87: 8,130,94,120,74,71
88: 104,14,50,28
89: 108
90: 51,49,109
91: 6,107,17
92: 
93: 18,26
94: 8,87,130,97
95: 17,81
96: 103
97: 130,94,59,100,6,79
98: 46,117,131,40
99: 56,57
100: 97,113
101: 36,19,44,102,48,106
102: 42,44,4,101,48,61,71,106
103: 31,55,96,123,46,78
104: 88,14,35,68,50
105: 67
106: 8,101,102,48,139,71
107: 17,91,43
108: 1,89,47
109: 3,90
110: 56,24
111: 
112: 53
113: 73,100,5
114: 75,128,55
115: 
116: 21,61,69,123,38,40
117: 123,46,98,40
118: 
119: 
120: 8,87,142,130,122,11
121: 28,48,134,61,143,21
122: 142,130,120,11
123: 69,46,116,21,31,103,117
124: 32,15,34,68,82,125
125: 13,68,124,82,60
126: 41,30,64,140
127: 22,16
128: 75,135,114
129: 84,79
130: 87,94,120,97,122,11,132
131: 40,98
132: 130,59,141
133: 141,12,142,27
134: 13,48,121,143
135: 128,137
136: 
137: 135
138: 53,40,38
139: 51,4,106
140: 25,76,126
141: 59,133,142,132
142: 120,122,141,133
143: 13,121,26,134
