0: 
1: 
2: 225,126,41,208,161,223
3: 90,139,101,51,178
4: 206,178
5: 107,228,43
6: 71,193,107,79,219
7: 
8: 64,161,94,143,25,230,142,120
9: 
11: 287,155,260,290,341,27
12: 191,252,274,50,200,13,300,210,93
13: 159,200,310,26,232,252,50,12,31,300
14: 272,249,340,278,124,134,159
15: 124,272,171,250
16: 234,54,165,206,261,309
17: 95,344,215,335,81,71
18: 210,275,180,229,199,251,197,267,214,136
19: 70,57,30
20: 95,109,344,297
21: 277,28,83
22: 208,258,212,231,195
23: 128,166
24: 333,76,236,196,56,247,162
25: 8,161
26: 205,13,310,232,330,244,31,123,121,130
27: 214,331,59,317,122,11,260,290
28: 69,271,21,83,232
29: 
30: 278,32,134,19,36,221
31: 123,103,275,180,300,114,55,50,13,26,232,330,130
32: 243,134,110,211,57,30
33: 346
34: 308,243
35: 68,104
36: 311,288,30,201,44,253,77,205,48,221
37: 115,39,216
38: 116,270,150,96,102,42,265
39: 196,37,76,140,127,261
40: 193,296,343,149,121,87,145,203
41: 143,204,235,125,248,2,64,223
42: 53,256,102,240,38,150
43: 107,5,297
44: 201,77,316,311,36,139,53
45: 273
46: 186,96,123,103,55,179,116
47: 264,172,227,83,50,128,166,114
48: 205,310,221,36,315,288
49: 231,238,258,212,94,71,306,332,219
50: 47,264,172,83,271,252,159,13,232,12,31,300,93
51: 231,90,3,101,165,178,212,223
52: 158,85,323
53: 296,42,240,44,77,316
54: 56,57,234,70,16,235,261
55: 31,123,103,275,114,199,46,202,179,117,137
56: 54,24,333,236,235,126
57: 54,211,176,32,19,235
58: 324,197,251,75,303
59: 27,325,317,132,168
60: 159,279,200,310,220,318,272
61: 184,253,77,205,330,123,116
62: 240,316
63: 
64: 8,223,94,106,143,288,248,41,120
65: 152,217
66: 96,98
67: 105
68: 35,88
69: 158,198,28
70: 183,211,54,163,19
71: 193,238,335,306,239,49,17,332,215,6,219
72: 115
73: 113
74: 79,87,336,146,290,132
75: 202,251,303,58,324
76: 24,196,39,140
