0: 
1: 
2: 126,261,22,56,208,161,223,41,125
3: 139,101,4,178
4: 144,206,3
5: 107,354,190
6: 219,79,228,193,71,87,239,332,365
7: 375,280
8: 208,64,380,161,223,94,41,125,143,338,25,120
9: 
11: 287,353,155,341,260,135,290,122,27
12: 295,274,200,13,26,300,191
13: 200,310,26,60,232,252,159,12,274,50
14: 327,249,159,318,124,134
15: 171,124,272,82
16: 183,70,54,206,309
17: 95,367,344,215,81,335,71
18: 58,180,229,197,133,251,267,214,136
19: 70,54,204,248
20: 297,337
21: 28
22: 2,165,389,208,366,223
23: 128,269
24: 236,386,196,247,162
25: 338,80,8,125,142
26: 279,200,13,310,330,205,12,31,130,244
27: 214,331,317,59,122,11,353,260
28: 69,271,21,83,232
29: 
30: 36,278,288,204,32
31: 381,103,275,180,300,50,364,368,26,330,232,123,130,244,117,203
32: 315,204,110,57,278,134,30
33: 157,346
34: 243,134,278,355,373,350
35: 68,175,167
36: 30,288,201,77,253,44,221,311
37: 115,39
38: 116,270,150,361,42,102,265,112
39: 56,37,76,140,127
40: 130,121,87,193,149,343,203
41: 64,8,223,125,248,235,204,2,261
42: 383,240,361,53,102,38
43: 376,107
44: 201,77,184,356,36,62,101,311
45: 273
46: 96,257,123,61,103,55,116
47: 264,227,83
48: 221,279,310,205,143,288,220
49: 258,238,212,306,380,94,71,332,219
50: 31,381,275,300,114,252,378,13,232,210,93
51: 90,238,101,106,212,311,387,64,366,223,248
52: 158,164,350,308,323
53: 296,102,184,356,42
54: 56,235,70,16,19,261
55: 103,199,166,46,78,202,117,137
56: 54,39,235,2,126,261,333
57: 176,351,211,216,162,32,110
58: 18,324,374,237,197,75
59: 27,331,317,132,325
60: 200,13,310,272,159,220
61: 77,357,184,253,69,368,330,46,123
62: 356,44
63: 
64: 306,8,380,223,41,248,143,288,51,106,311,120
65: 217,382
66: 96,262
67: 
68: 35
69: 158,198,28,253,61
70: 183,211,16,54,19
71: 193,238,239,49,95,367,332,17,219,6
72: 115,298
73: 113
74: 79,228,97,146,290,141,384,190
