0: 
1: 415
2: 322,126,127,208,261,366,379,56,41,223,393,22
3: 4,408,139
4: 3,206
5: 424,190,213,354
6: 365,425,228,219,193,87,276,239,332,71
7: 375,211
8: 64,380,223,94,120,25,161
9: 
11: 287,353,155,341,290,135,130,122,27,260,317
12: 295,274,200,13,26,244,300,210,133,191
13: 398,200,60,249,12,274,300
14: 352,318,423,134,327,350
15: 416,124,272,281,82
16: 183,70,54,165,206,261
17: 238,335,367,344,71
18: 197,214,417,418,251,229,58,374,267
19: 248,70,204,32,399
20: 407,109
21: 
22: 2,208,379
23: 128,269,166
24: 236,386,410,162,196
25: 161,338,125,224,80,8,142
26: 31,279,200,48,310,143,205,244,295,12,300,130,230,121,191
27: 260,59,317,214,11,155,267,396,331
28: 271,368,69,232,159
29: 337,349,328
30: 36,278,32,221
31: 398,310,26,232,244,330,123,50,300,130,149,203
32: 422,204,221,110,399,124,30,19
33: 259,284,86,346,363
34: 243,134,308,278,355,373
35: 68,175,88,245,293,340
36: 30,44,201,288,221,61,253,205,311
37: 428,216,234,54,196
38: 265,112,361,53,150,102,116
39: 56,76,140,127
40: 341,203,343,130,87,149,145,420
41: 64,223,393,235,56,204,125,2,261
42: 383,240,53
43: 376,187,107,407
44: 36,233,201,312,62,316,184
45: 
46: 123,257,96,103,116,420,203
47: 415,83,271,172,151,264
48: 279,310,26,143,205,220,288,221
49: 215,238,306,187,412,219
50: 381,275,180,417,114,414,300,252,378,93,31,398,232,210
51: 90,101,106,212,387,248,64,311
52: 308,323,355,373,164,350
53: 296,150,184,102,397,42,383,38
54: 235,57,162,37,70,211,16
55: 202,166,199,103,381,275,114,117,78,137
56: 235,39,333,2,126,127,261,41
57: 235,54,162,216,211,399,247
58: 324,374,18,251,391
59: 27,317,396,331,132
60: 398,200,13,310,220,159,249,272
61: 241,357,330,368,69,253,36
62: 312,377,44,316
63: 
64: 41,8,380,223,393,120,248,288,204,51,106
65: 217,382,168
66: 98
67: 424,105,320
68: 35,88
69: 61,241,368,28,198
70: 183,211,16,54,19,163
71: 95,367,332,297,238,193,239,17,6
72: 298
73: 113,195
74: 190,336,146,290,79,384
75: 202,251,391,229,166,114
76: 39,196,140
77: 296,184,311,330,205,121,149
78: 186,257,166,55
79: 284,213,132,188,87,290,91,74,190
80: 295,338,358,224,279,25,142
81: 335,139,419
82: 15,272,281,358,200,220
83: 158,85,271,151,47
84: 285,362,131
85: 158,83
86: 284,363,33,217
87: 130,336,276,239,149,193,145,290,40,6,79
88: 35,68,415,151
89: 108
90: 231,238,335,139,101,51,212
91: 297,365,349,188,79
92: 289,411
93: 170,153,252,378,50,210
