0: 540,466
1: 89
2: 322,333,561,589,469,617,477,64,208
3: 430,9
4: 312,206
5: 585,107,113,412,459,602,376,490
6: 74,425,519,190,336,107,365,332,354,490
7: 472,57,32
8: 338,64,380,587,25,161,97
9: 3,605,139
11: 287,483,594,267,546,214,130,244,230,317,122,260,444,291
12: 295,281,300,13,432,339,563,210,274,501,244,133,122
13: 300,432,232,339,220,60,619,295,12,281
14: 484,151,60,423,252,350,278
15: 557,272,327,548,416,171,573
16: 422,204,489,54,19,482,589,393,387,288
17: 367,90,81,335,238,419,344
18: 520,214,436,192,260,27,468,251
19: 453,351,489,211,422,399,204,16,387
20: 407,431,29,337,582
21: 271
22: 575,126
23: 128,568
24: 76,386,556,443,162,565,56
25: 161,125,97,80,338,8,26,618,191
26: 121,501,228,618,623,611,80,464,338,276,120,25,191
27: 260,444,331,267,468,136,18
28: 123,456,588,381,549,330
29: 407,20,181,328,490
30: 492,44,351,36,564,323,159,253,32
31: 205,464,432,330,579,339,414,353,604,149,130,244,623,475
32: 221,616,110,399,7,134,159,57,30,351
33: 382,157,118,363,284,188,396,402,346
34: 329,567,373,243,531
35: 68,517,599,174,293,151
36: 492,30,248,564,61,51,368,311,205
37: 54,495,162,56,505
38: 395,361,42,53,112,116
39: 194,189,615,505,322,333,127,534,370
40: 604,239,306,228,130,230,541,341,145,87
41: 495,162,565,235,204,224,589,469,64,125
42: 383,455,240,361,184,38,53,112
43: 187,376
44: 492,30,323,377,164
45: 273
46: 493,103,96,507,559,116
47: 227,104,415,83,172,568
48: 205,464,310,232,220,530,564,221,510,368
49: 525,106,219,71,238,612,450
50: 536,180,417,249,597,583,264,437,300,339,398
51: 311,248,36,205,527,77,543
52: 308,69
53: 296,361,184,397,590,38,42,383,455,571,116,480
54: 37,495,70,165,234,16,366,482,127
55: 241,257,103,600,583,78
56: 37,162,386,505,24,76
57: 134,247,7,472,577,440,616,32,399
58: 374,391,192,520
59: 584,526,317,444,578,290,542
60: 14,318,252,619,272,124,454,13,530
61: 123,368,511,311,588,164,36
62: 184,316,311,164
63: 319
64: 8,380,315,41,2,589,393,469
65: 168,382,325,593,152,447
66: 509,78,518,257,96,262,405
67: 105,424
68: 35,151
69: 198,278,253,52
70: 489,163,211,491,547,234,54,482
71: 541,193,343,77,543,238,106,413,219,120,239,306,49,450
72: 298
73: 459
74: 585,6,519,336,113,87,228,142,458,591,146
75: 394,391,229,269,114,303,166
76: 24,236,56,370
77: 527,71,543,248,51,120,306
78: 166,66,186,269,257,55
79: 354,429,188,155,145,336,87
80: 82,611,279,523,200,295,25,125,26
81: 17,419
82: 470,80,279,220,498
83: 610,486,445,47,461,484
84: 362
85: 601,445
86: 524,593,349,284,283,217,487
87: 74,336,578,40,228,230,317,155,341,145,79,429,290
88: 446,158,445,484
89: 1,227,452
90: 525,215,367,231,17,389
91: 181,349,363,508,188,328
92: 465,562
93: 108,170,153,313,237,378,249,418,449,274,197
94: 258,522,462,141,195,587,97,208,225,506,451
95: 297,365,344,476,343,238,256
96: 241,257,46,518,395,509,66,131,116
97: 25,161,8,276,618,94,462,141,451
98: 314,302,241
99: 499
100: 447,190,320,132,535,213
101: 387,335,504,233,576,206
102: 296,500,455,150,173,480
103: 46,493,55,507,456,381,275,414,117,624
104: 227,47,415,614,108,606
105: 67
106: 504,219,288,120,71,49
107: 5,6,113,412,332,490
108: 93,153,606,104,345,457,433,614,172
109: 367,297,156
110: 434,616,32,134,247
111: 222,560,243
112: 552,270,38,42
113: 585,74,5,519,107,412
114: 364,275,180,418,303,394,75,391,192,202,229
115: 154,400,165,234,503,514,347
116: 571,173,131,480,613,38,46,96,559,53,270
117: 275,493,103,507,202,624,179,483,203,135,475
118: 263,513,185,439,421,331,533,396,402,157,33
119: 337,348,603
120: 338,219,288,276,106,71,77,604,26,121,239,306,228
121: 604,26,501,239,228,130,230,623,120
122: 260,291,12,563,214,210,244,133,11
123: 61,456,368,28,590,588,381,205,330
124: 226,134,272,327,159,570,60,221,434,530
125: 25,41,523,80,502,224,469,315
126: 322,22,266,544
127: 322,261,617,165,54,39,514,366
128: 23,474,426,392,237,516,303,229
129: 394,192,202,137,199,251
130: 604,149,121,40,244,230,31,353,11,287,203,475,341
131: 537,173,116,96,507,270,169,550
132: 284,354,429,596,168,190,336,578,384,535,593,213,100
133: 580,12,501,244,122,291
134: 226,243,124,159,57,247,434,616,110,32
135: 287,483,203,594,364,275,353,117,214,251
136: 520,533,27,388,513,468,622
137: 166,509,129,202,285,550,199
138: 150
139: 430,605,9,231
140: 615
141: 94,462,97,451,591
142: 191,580,317,228,230,618,74,458,146
143: 611,422,279,523,510,235,248,338,288,315
144: 246,592
145: 365,476,450,541,343,500,40,259,155,341,425,87,79
146: 458,142,317,74,578
147: 528,182,471
148: 277,255
149: 604,306,130,205,31,357,541,527,193,420,475
150: 173,102,270,138,256
151: 484,14,293,35,68,599
152: 447,65,621,593,217
153: 108,93,457,433,249,274
154: 409,115
155: 483,203,546,341,259,145,87,79,429,188,402
156: 109
157: 33,263,118,346
158: 494,88,355
159: 350,134,124,278,253,30,564,221,32,310,530
160: 601
161: 25,97,477,8,451
162: 37,495,565,56,41,440,24,204
163: 70,201,351
164: 61,608,511,311,62,44,323,184,316
