0: 540,286,466
1: 35,268,245,174,104
2: 587,561,802,617,39,333,189,322,545,477,441,22
3: 335,9
4: 312,233,771,206
5: 742,728,141,585,113,591,73
6: 190,490,107,336,683,29,659,734
7: 491,710,577,329,800,351,531,399
8: 94,522,380,770,843,315,276,653,656
9: 430,335,3,231
11: 483,267,546,251,244,594,260,444,214
12: 295,281,630,498,699,122,464,200,642,13,432,300,563,274,501
13: 464,48,232,300,124,60,454,220,295,12,630,498
14: 726,252,530,567,744,813,350,327,720,355,821
15: 557,481,416,171,226,570,434
16: 422,41,616,235,32,358,785,399,204,440,690,765
17: 156,90,367,419,297,344,825
18: 520,436,672,622,267,260,214,468
19: 492,30,681,690,660,666,387,422,785,248,504,77,288
20: 407,181,337
21: 610,271,50,103
22: 208,126,261,747,575,189,322,2
23: 186,600,809,780,229,128,732,75
24: 471,411,551,410,556,147,162,56,76
25: 161,97,191,80,338,64,523,618,843,315
26: 604,733,121,627,228,230,31,817,623,642,804,338,618,143,501,133,580
27: 520,136,546,260,513,468,118,331
28: 253,549,637,461,271,398,103,198
29: 490,6,119
30: 19,681,690,36
31: 604,26,733,121,702,623,330,205,464,737,432,579,685,527,810,647,353
32: 221,616,16,159,134,110,531,399,690,660,833,822,765
33: 382,263,402,775,284,155,157,86
34: 308,159,329,813,800,373,567,243,350,134
35: 446,1,268,706,245,345,457
36: 61,123,368,839,323,164,492,30,44,311,564,184
37: 448,204,767,495,216,56,440,668,505,54
38: 664,361,294,116,131,837,405
39: 194,333,189,322,370,2,705,802,617,715,545
40: 604,779,541,149,500,341,130,145,87,79
41: 279,16,235,358,764,204,495,224,125,469,64,523
42: 383,361,112
43: 841,412
44: 492,674,308,164,36
45: 658
46: 241,96,626,116,778,257,55
47: 255,172,277,227,516,732
48: 205,464,13,720,310,564,669,221,510,220
49: 90,823,476,297,425,344,748
50: 625,808,21,610,271,398,103,536,180,339
51: 123,590,330,681,205,248,543,527,702
52: 69,762,323,278,608,497,511
53: 361,302,240,395,397,241,116,632
54: 489,472,70,211,673,37,767,495,440,668,387,127,393,819
55: 46,103,507,778,257,583,610,600,496,269
56: 204,37,162,216,411,386,505,147,24,76
57: 577,247,531,399
58: 324,622,787,364,418,436,374,474,391,763,672
59: 652,542,546,439,444,584,132,429,396,526
60: 433,318,252,264,530,816,829,378,124,619,454,13,300,630
61: 123,794,368,588,839,795,36,497,762,323,637,511,184
62: 164,316,311,184
63: 319
64: 682,523,315,41,764,587,25,161
65: 382,743,325
66: 700,664,96,756,307,405,529
67: 190,424,703,213
68: 151,268,706
69: 762,253,52,637,494,497,639,438
70: 472,211,54,547,673,409,428,767
71: 675,717,576,679,106,120,543,541,193,306,238,90,476,219,344,450
72: 758,499,739,609
73: 688,459,5,141,506
74: 798,87,661,100,834,228,146,142,336,578
